node_label,value
76277,-0.00025589886
77807,-0.0002646734
77914,-0.00024512628
78200,-0.00027343148
78233,-0.00025789053
78722,-0.0003016944
79275,-0.00019651843
82645,-0.00020740947
82780,-0.0002818502
82803,-0.00032699367
83003,-0.00033186903
83137,-0.0002055939
83565,-0.00021166884
83569,-0.00018637114
84121,-0.00035368509
84378,-0.0001732215
84507,-0.00029711847
85555,-0.00035795764
86126,-0.00037363326
86305,-0.00034221425
86404,-0.00021677345
86584,-0.00029698614
86809,-0.0002586709
86828,-0.00022116472
86831,-0.00031425164
86918,-0.0002238304
86946,-0.00030921286
86971,-0.0003768976
86995,-0.00031422017
87088,-0.00030944392
87145,-0.00022296661
87202,-0.00022317143
87311,-0.0003950294
87425,-0.00024163157
87488,-0.00025530328
87491,-0.00022811798
87511,-0.00022780256
87652,-0.00035082258
87653,-0.00032375523
87674,-0.00037856022
87751,-0.00022604865
87774,-0.00029511828
87803,-0.00022893559
87817,-0.0002523426
87840,-0.00030299372
87904,-0.00040281552
87940,-0.0002744642
87975,-0.00032078233
88030,-0.00040424342
88060,-0.00022930848
88112,-0.00022604602
88241,-0.00032929127
88341,-0.0002263022
88343,-0.00023584263
88344,-0.0002443562
88417,-0.00024226554
88448,-0.00022901798
88477,-0.00037323643
88534,-0.0002639154
88614,-0.0002670632
88616,-0.0002501733
88658,-0.00023475791
88718,-0.00034707444
88720,-0.00022767007
88807,-0.00030568906
88888,-0.00022697846
88971,-0.00039386775
89006,-0.00031799547
89061,-0.0002927161
89087,-0.00022748475
89175,-0.00028169458
89178,-0.00025474367
89267,-0.0003381338
89401,-0.000277802
89586,-0.000193618
90140,-0.00021072294
90141,-0.00018792244
90142,-0.00018275015
90143,-0.00020764596
90180,-0.00020843477
90196,-0.00018908647
90317,-0.00020577517
90353,-0.00019826679
90376,-0.00022976783
90386,-0.00019406463
90387,-0.00017252288
90388,-0.00017837276
90389,-0.00017773987
90390,-0.00017525192
90391,-0.00017373967
90392,-0.00017560636
90393,-0.00018184641
90394,-0.00017218075
90395,-0.00018194744
90447,-0.0001795439
90448,-0.00017470728
90449,-0.0001802678
90450,-0.00017487863
90451,-0.0001752942
90452,-0.00018391931
90453,-0.0001747799
90454,-0.00017788162
90455,-0.00017910085
90456,-0.00017743958
90457,-0.00017797295
90492,-0.00020401718
90499,-0.0002113421
90520,-0.00021280919
90532,-0.00021362327
90543,-0.0002131571
90550,-0.00019674077
90559,-0.00021082937
90589,-0.00022623892
90605,-0.00017490861
90607,-0.00017414257
90784,-0.00022524288
90811,-0.00019809975
90824,-0.00018725527
90825,-0.00023516467
90829,-0.00021232935
90866,-0.00022322733
90992,-0.00023459186
91014,-0.00019379547
91017,-0.00018799798
91030,-0.00027087433
91033,-0.00018209145
91035,-0.00018480553
91040,-0.00021674608
91042,-0.00017425387
91045,-0.00019785197
91048,-0.00019269166
91059,-0.00019345389
91061,-0.0001852716
91064,-0.0001846744
91065,-0.00021595965
91066,-0.00019086417
91068,-0.00025602462
91071,-0.00018047635
91073,-0.00019785539
91076,-0.00020618131
91081,-0.00022391295
91086,-0.00020465106
91103,-0.0002102205
91120,-0.00019611361
91128,-0.00021256173
91131,-0.00017239862
91140,-0.00020033508
91148,-0.00019417929
91154,-0.0001904396
91192,-0.00019504696
91193,-0.00021780812
91194,-0.00021325522
91199,-0.00020664839
91202,-0.00018950873
91203,-0.00020242285
91205,-0.00017997851
91212,-0.00023714219
91214,-0.00025357038
91245,-0.00018507332
91246,-0.00018805433
91264,-0.00020856957
91270,-0.00017456047
91271,-0.00017896337
91279,-0.00027536723
91285,-0.00022336337
91287,-0.00022734456
91294,-0.00023350086
91307,-0.00017295126
91325,-0.00024065426
91363,-0.00018620052
91377,-0.00027825756
91387,-0.00018714613
91417,-0.00020408891
91442,-0.00020906972
91447,-0.00018953504
91451,-0.00021044383
91481,-0.0002026368
91496,-0.00020076832
91504,-0.00019272657
91519,-0.0002073317
91556,-0.00019274691
91573,-0.0002149688
91577,-0.00018336473
91593,-0.00018903664
91596,-0.00021828528
91599,-0.00019643921
91605,-0.00018365163
91612,-0.00026866607
91614,-0.00018109186
91631,-0.00018379356
91670,-0.0002053437
91674,-0.00022308603
91676,-0.00019690879
91689,-0.00024035004
91695,-0.00021231904
91728,-0.00030115768
91766,-0.00020202251
91822,-0.00024753422
91894,-0.00019364453
91905,-0.00017579064
91916,-0.0002135856
91921,-0.00022612802
91979,-0.00021483818
92001,-0.00030587227
92031,-0.00023478964
92039,-0.00024893615
92069,-0.00022212933
92079,-0.00023496152
92140,-0.00020814846
92192,-0.00023100936
92216,-0.00022868914
92243,-0.00026609914
92246,-0.00021386957
92254,-0.00024752237
92279,-0.00020758824
92289,-0.00022179128
92313,-0.00021823705
92314,-0.00022529923
92351,-0.00019510761
92356,-0.0002370255
92368,-0.00019475582
92404,-0.00020185567
92405,-0.00019719436
92420,-0.00023004026
92421,-0.00023116008
92499,-0.00023567934
92513,-0.00021290618
92529,-0.00020715264
92534,-0.00022097987
92561,-0.00021413823
92619,-0.0002264475
92621,-0.00024538464
92740,-0.00022508924
